ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
98308,Khalid Raghib,M,22.0,180.0,70.0,Morocco,MAR,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,
121701,Mrioara Trac (-Curelea),F,21.0,172.0,68.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Eights,Silver
133023,Martin Laumann Ylven,M,21.0,190.0,92.0,Norway,NOR,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,
72524,"Wilhelm Bernhard Adolf Emil ""Willy"" Ltzow",M,19.0,,,Germany,GER,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 400 metres Breaststroke,
75751,Jess Martnez Tejeda,M,20.0,163.0,48.0,Mexico,MEX,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Flyweight,
110875,Charles Walter Simpson,M,63.0,,,Great Britain,GBR,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",
48118,Robert Herold,M,25.0,,,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
48180,Max Herrmann,M,27.0,176.0,67.0,Germany,GER,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 200 metres,
109084,Ghulam Shabbir,M,26.0,175.0,63.0,Pakistan,PAK,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Welterweight,
54916,Hitomi Jinno,F,19.0,161.0,55.0,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 100 metres Freestyle,
32533,Constantin Enache,M,27.0,,,Romania,ROU,1956 Winter,1956,Winter,Cortina d'Ampezzo,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
883,Charles Addo-Odametey,M,31.0,170.0,67.0,Ghana,GHA,1968 Summer,1968,Summer,Mexico City,Football,Football Men's Football,
74307,Graziano Mancinelli,M,39.0,175.0,77.0,Italy,ITA,1976 Summer,1976,Summer,Montreal,Equestrianism,"Equestrianism Mixed Jumping, Individual",
113710,"Janice Lee ""Janie"" Speaks (-Arnold, -Hunter)",F,16.0,160.0,52.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Horse Vault,
76707,Carlo Mattioli,M,33.0,178.0,68.0,Italy,ITA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 20 kilometres Walk,
50532,Hsu Chih-Ling,F,25.0,177.0,57.0,Chinese Taipei,TPE,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Women's Featherweight,
118002,Juri Takayama,F,27.0,162.0,85.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Bronze
47295,Raimo Yrj Heinonen,M,29.0,174.0,63.5,Finland,FIN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Team All-Around,
87092,Abdelatif Noussir,M,22.0,174.0,70.0,Morocco,MAR,2012 Summer,2012,Summer,London,Football,Football Men's Football,
100411,Luis Fernando Ribera,M,31.0,172.0,70.0,Argentina,ARG,1960 Summer,1960,Summer,Roma,Modern Pentathlon,Modern Pentathlon Men's Team,
134561,Zhang Xi,F,27.0,183.0,72.0,China,CHN,2012 Summer,2012,Summer,London,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,
98472,Sylvain Rajefiarison,M,21.0,168.0,60.0,Madagascar,MAD,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,
68972,Frank Leskaj,M,21.0,,,Albania,ALB,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 50 metres Freestyle,
58569,David Albert Kelly,M,40.0,180.0,73.0,Bahamas,BAH,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,
58000,Tadashi Kato,M,17.0,,,Japan,JPN,1952 Summer,1952,Summer,Helsinki,Cycling,"Cycling Men's Road Race, Individual",
51511,Jos A. Ibar Martnez,M,31.0,185.0,106.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Silver
60783,Marja-Liisa Kirvesniemi-Hmlinen,F,36.0,176.0,68.5,Finland,FIN,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,
38444,Romano Garagnani,M,39.0,174.0,69.0,Italy,ITA,1976 Summer,1976,Summer,Montreal,Shooting,Shooting Mixed Skeet,
14433,Maria Grazia Bozzo,F,16.0,,,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Women's Team Portable Apparatus,
36580,William Speed Lane Fox-Pitt,M,47.0,196.0,80.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",
50421,Edel Therese Hiseth,F,18.0,171.0,78.0,Norway,NOR,1984 Winter,1984,Winter,Sarajevo,Speed Skating,"Speed Skating Women's 1,000 metres",
12239,Reinhard Blechert,M,21.0,183.0,80.0,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Backstroke,
127501,Mikhail Yakovlevich Voronin,M,27.0,170.0,65.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Individual All-Around,
74865,Eloisa Marcos Quintano,F,14.0,156.0,46.0,Spain,ESP,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Women's Individual All-Around,
24380,Morris Joseph Curotta,M,23.0,183.0,73.0,Australia,AUS,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 4 x 100 metres Relay,
9324,Enrique Beech,M,36.0,168.0,63.0,Philippines,PHI,1956 Summer,1956,Summer,Melbourne,Shooting,Shooting Men's Trap,
3357,Harald Ambros,M,28.0,177.0,72.0,Austria,AUT,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
111236,Chandan Singh Rawat,M,23.0,,,India,IND,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,
131525,"Allan Charles ""Huck"" Woodman",M,21.0,179.0,75.0,Canada,CAN,1920 Summer,1920,Summer,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
16036,Peter Bucher,M,25.0,178.0,75.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball,
110809,Stefano Simoncelli,M,25.0,178.0,80.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's Foil, Team",
7563,Jarrod Bannister,M,23.0,190.0,100.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Javelin Throw,
104370,Mika Saiki,F,36.0,172.0,65.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,
128503,Wang Lei,M,27.0,190.0,108.0,China,CHN,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Team",
127243,Giulia Volpi,F,18.0,160.0,50.0,Italy,ITA,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Uneven Bars,
10473,Tjeertje Bergers-Duif,F,24.0,165.0,60.0,Netherlands,NED,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",
35740,Alfred Flatow,M,26.0,,,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
7385,Dirk Peter Balster,M,26.0,195.0,90.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxless Fours,
7221,Pia Lucia Baldisserri,F,31.0,170.0,70.0,Italy,ITA,1988 Summer,1988,Summer,Seoul,Shooting,Shooting Mixed Trap,
10408,Monica Roberta Bergamelli,F,16.0,152.0,44.0,Italy,ITA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Horse Vault,
107613,Carl Schuhmann,M,26.0,159.0,70.0,Germany,GER,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Triple Jump,
62466,Ernst Knigsgarten,M,25.0,,,Austria,AUT,1906 Summer,1906,Summer,Athina,Fencing,"Fencing Men's Foil, Individual",
50105,Zsolt Horvth,M,20.0,173.0,60.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Individual All-Around,
97765,Qiao Ya,F,19.0,152.0,41.0,China,CHN,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Horse Vault,
27395,Charles Jules Delporte,M,31.0,,,Belgium,BEL,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Sabre, Team",
98296,"Randolph Lee ""Randy"" Ragan",M,25.0,180.0,73.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,
74479,Elizabeth Ann Manley-Theobald,F,22.0,152.0,49.0,Canada,CAN,1988 Winter,1988,Winter,Calgary,Figure Skating,Figure Skating Women's Singles,Silver
39272,Gabriele Gebauer,F,26.0,180.0,76.0,Austria,AUT,1984 Summer,1984,Summer,Los Angeles,Handball,Handball Women's Handball,
4774,Rubn Arado Gonzlez,M,29.0,175.0,75.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Table Tennis,Table Tennis Men's Doubles,
80861,Aleksandr Gennadiyevich Mogilny,M,18.0,180.0,86.0,Soviet Union,URS,1988 Winter,1988,Winter,Calgary,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
455,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Silver
90698,Eliecith Palacios Santos,F,24.0,170.0,64.0,Colombia,COL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,
3628,Lolita Volodymyrivna Ananasova,F,24.0,169.0,52.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,
51919,Lyubov Ilyina (-Loseva),F,22.0,170.0,56.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's Long Jump,
19762,Chang Jeng-Shyuang,M,22.0,183.0,83.0,Chinese Taipei,TPE,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Men's Singles,
57495,Valery Nikolayevich Karasyov,M,22.0,168.0,65.0,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Team All-Around,Silver
